user,activity,timestamp,x-acceleration,y-accel,z-accel;
33,Walking,49404982315000,1.607201,7.8589406,-0.8036005;
33,Walking,49405092300000,2.7649305,11.223166,1.2666923;
33,Walking,49405192245000,-0.8036005,13.443283,0.61291564;
33,Walking,49405302292000,-6.510526,18.8097,1.1849703;
33,Upstairs,49568432297000,1.3756552,12.067628,2.1111538;
33,Upstairs,49568542312000,0.88532263,8.240311,0.7218784;
33,Upstairs,49568652298000,1.6480621,7.5456724,0.5720546;
33,Upstairs,49568752273000,2.6014864,8.240311,0.42223078;
33,Upstairs,49568862289000,1.3075534,14.1787815,0.88532263;
33,Upstairs,49568972305000,0.46309182,13.6748295,0.46309182;
33,Upstairs,49569082321000,-1.8387469,11.372991,1.0351465;
33,Upstairs,49569192306000,1.1168685,7.6273947,0.5720546;
33,Upstairs,49569292435000,0.3405087,4.0180025,0.6537767;
33,Upstairs,49569402298000,1.2666923,3.336985,4.671779;
33,Upstairs,49569502243000,1.607201,9.507003,7.668256;
33,Upstairs,49569612289000,-1.334794,12.680544,1.2258313;
33,Upstairs,49569722275000,1.56634,9.152874,0.92618364;
33,Upstairs,49569832290000,1.2258313,9.765789,-2.1111538;
33,Upstairs,49569882156000,1.0760075,8.962189,-1.7297841;
33,Upstairs,49569982406000,0.6537767,10.147159,-1.6480621;
33,Upstairs,49570092331000,2.5333846,7.8861814,-0.61291564;
33,Upstairs,49570202316000,1.879608,10.147159,-0.7218784;
33,Upstairs,49570312301000,-4.2495484,16.970953,-2.0294318;
33,Upstairs,49570412247000,3.568531,11.563675,1.0760075;
33,Upstairs,49570512283000,0.42223078,6.2789803,2.8330324;
33,Upstairs,49570622299000,1.6889231,2.9556155,2.2609777;
33,Upstairs,49570732315000,2.2201166,3.3778462,6.932757;
33,Upstairs,49570842300000,-1.0760075,13.988097,7.273266;
33,Upstairs,49570952316000,2.070293,15.322891,2.1111538;
33,Upstairs,49571052292000,1.2666923,10.228881,0.3405087;
33,Upstairs,49571162308000,1.9477097,7.205164,0.84446156;
33,Upstairs,49571262344000,2.3426998,6.2108784,0.313268;
33,Upstairs,49571372299000,1.6480621,14.560152,2.2609777;
33,Upstairs,49571482315000,1.4165162,12.176591,-0.5720546;
33,Upstairs,49571592300000,-1.4573772,9.343558,0.8036005;
33,Upstairs,49571702316000,1.0351465,5.829509,0.5720546;
33,Upstairs,49571812332000,0.08172209,4.2086873,2.4925237;
33,Upstairs,49571912277000,1.3756552,9.656827,6.4424243;
33,Downstairs,49658672287000,0.14982383,7.6954966,2.152015;
33,Downstairs,49658782303000,1.6480621,8.049625,1.5390993;
33,Downstairs,49658882278000,-1.0760075,6.2789803,3.9499009;
33,Downstairs,49658992294000,-1.920469,15.023244,6.851035;
33,Downstairs,49659092270000,-0.6537767,8.771504,4.5628166;
33,Downstairs,49659192276000,-0.50395286,4.6036777,1.56634;
33,Downstairs,49659302322000,-0.6946377,6.510526,3.1463003;
33,Downstairs,49659402298000,-0.7627395,7.9679036,2.070293;
33,Downstairs,49659512314000,-3.0237172,11.264028,4.099725;
33,Downstairs,49659622299000,-0.8036005,15.213928,0.88532263;
33,Downstairs,49659732315000,-0.50395286,10.460427,-0.53119355;
33,Downstairs,49659842300000,0.27240697,8.471856,1.4982382;
33,Downstairs,49659952347000,2.5333846,6.932757,1.7297841;
33,Downstairs,49660062301000,-2.6832085,8.349273,1.2666923;
33,Downstairs,49660162277000,-0.53119355,16.821129,3.9090397;
33,Downstairs,49660262985000,1.56634,8.117727,2.070293;
33,Downstairs,49660372299000,-2.3699405,2.5333846,1.0760075;
33,Downstairs,49660482345000,-5.7477865,12.762266,4.2904096;
33,Downstairs,49660582260000,3.405087,7.3549876,-2.0294318;
33,Downstairs,49660682266000,-3.173541,8.539958,0.5720546;
33,Downstairs,49660792312000,-1.3075534,9.152874,0.19068487;
33,Downstairs,49660892319000,-1.2258313,9.656827,0.95342433;
33,Downstairs,49660992264000,-0.84446156,10.800936,0.50395286;
33,Downstairs,49661092270000,-1.7297841,12.571581,-0.29964766;
33,Downstairs,49661192276000,-1.0760075,12.762266,2.2201166;
33,Downstairs,49661302292000,-0.46309182,6.0201936,1.3075534;
33,Downstairs,49661402298000,-2.4516625,7.8861814,2.6423476;
33,Downstairs,49661512314000,-1.8387469,8.076866,1.6889231;
33,Downstairs,49661632767000,-1.3075534,6.782933,1.9885708;
33,Downstairs,49661742325000,-1.0351465,7.8589406,1.9885708;
33,Downstairs,49661802292000,-3.1463003,9.724928,3.5957718;
33,Downstairs,49661902298000,-0.14982383,9.697687,-0.46309182;
33,Downstairs,49661952194000,-0.42223078,16.208214,0.7218784;
33,Downstairs,49662062301000,-0.61291564,9.343558,-0.6537767;
33,Downstairs,49662172317000,0.50395286,8.689782,2.152015;
33,Downstairs,49662282303000,2.152015,5.706926,1.9477097;
20,Jogging,901192210000,18.31,19.57,7.6954966;
20,Jogging,901242290000,16.09,15.02,-0.6537767;
20,Jogging,901292247000,-4.75,4.14,-3.0237172;
20,Jogging,901342296000,-14.33,3.15,-1.2258313;
20,Jogging,901392253000,-9.7,-0.76,-6.932757;
20,Jogging,901442302000,16.7,3.87,2.152015;
20,Jogging,901492229000,5.24,4.44,2.4516625;
20,Jogging,901542277000,-4.79,14.98,-2.7513103;
20,Jogging,901592143000,0.8,19.57,-0.88532263;
20,Jogging,901642131000,17.67,19.57,-9.575105;
20,Jogging,901642131000,17.67,19.57,-9.575105;
20,Jogging,901642131000,17.67,19.57,-9.575105;
20,Jogging,901704997000,17.97,-1.14,16.208214;
20,Jogging,0,0,0,0.0;
20,Jogging,901892161000,10.57,7.86,-1.2666923;
20,Jogging,901942271000,18.24,19.57,-0.3405087;
20,Jogging,901992320000,19.46,19.27,6.510526;
20,Jogging,902042186000,3.99,4.9,-3.336985;
20,Jogging,902092235000,-13.91,3.76,-1.879608;
20,Jogging,902142436000,-12.87,-2.53,-3.7864566;
20,Jogging,902192363000,7.59,4.56,3.8681788;
20,Jogging,902242351000,9.58,-0.38,-8.158588;
20,Jogging,902292247000,-1.31,15.7,2.9147544;
20,Jogging,902353038000,1.61,19.53,0.95342433;
20,Jogging,902353038000,1.61,19.53,0.95342433;
20,Jogging,902452586000,19.5,1.04,11.223166;
20,Jogging,902452586000,19.5,1.04,11.223166;
20,Jogging,902502360000,4.63,-1.5,-4.630918;
20,Jogging,902502360000,4.63,-1.5,-4.630918;
20,Jogging,0,0,0,0.0;
20,Jogging,902672191000,16.09,14.79,-3.9090397;
20,Jogging,902722301000,18.7,19.57,7.5456724;
20,Jogging,902772258000,14.82,13.38,-1.920469;
20,Jogging,902822276000,-7.4,2.3,-4.5219555;
20,Jogging,902872325000,-13.95,2.41,-0.50395286;
20,Jogging,902932262000,-6.17,0.27,-5.8976107;
20,Jogging,902982280000,19.19,4.02,-1.8387469;
20,Jogging,903032298000,0.69,11.41,3.568531;
20,Jogging,903082255000,-6.55,18.47,-2.5333846;
20,Jogging,903133830000,9.47,19.57,0.46309182;
20,Jogging,903182170000,19.31,15.85,-7.9270425;
20,Jogging,903242717000,14.02,-1.88,9.956474;
35,Jogging,712412242000,2.26,0.95,-0.9125633;
35,Jogging,712512218000,-8.08,6.78,-4.903325;
35,Jogging,712512218000,-8.08,6.78,-4.903325;
35,Jogging,712612254000,-3.3,9.58,-1.2666923;
35,Jogging,712612254000,-3.3,9.58,-1.2666923;
35,Jogging,712712230000,-2.6,11.41,1.8387469;
20,Sitting,58981002300000,-2.6,3.57,9.81;
20,Sitting,58981052288000,-3.26,3.26,9.81;
20,Sitting,58981102306000,-3.36,3.02,9.58;
20,Sitting,58981152294000,-2.91,3.11,9.53;
20,Sitting,58981202313000,-1.73,3.38,9.38;
20,Sitting,58981252300000,-1.12,3.49,9.3;
20,Sitting,58981302319000,-1.42,3.53,9.53;
20,Sitting,58981352306000,-1.46,3.57,9.34;
20,Sitting,58981402264000,-1.46,3.57,9.3;
20,Sitting,58981452313000,-1.46,3.49,9.43;
20,Sitting,58981502270000,-1.46,3.38,9.43;
20,Sitting,58981552319000,-1.53,3.49,9.47;
20,Sitting,58981602276000,-1.53,3.64,9.43;
20,Sitting,58981652294000,-1.57,3.6,9.38;
20,Sitting,58981702313000,-1.33,3.68,9.51;
20,Sitting,58981752270000,-1.18,3.68,9.3;
20,Sitting,58981802319000,-1.46,3.72,9.43;
20,Sitting,58981852306000,-1.69,3.83,9.34;
20,Sitting,58981902294000,-1.76,3.87,9.3;
20,Sitting,58981952313000,-1.57,3.83,9.47;
20,Sitting,58982002453000,-0.99,3.83,9.3;
20,Sitting,58982052319000,-0.91,3.99,9.23;
20,Sitting,58982102306000,-1.04,4.06,9.19;
20,Sitting,58982152294000,-0.91,4.18,9.28;
20,Sitting,58982202282000,-0.89,4.21,9.28;
8,Standing,112589891487000,-5.24,8.16,1.33;
8,Standing,112589891487000,-5.24,8.16,1.33;
8,Standing,112590011543000,-5.18,8.2,1.33;
8,Standing,112590051582000,-5.24,8.2,1.31;
8,Standing,112590091530000,-5.13,8.12,1.27;
8,Standing,112590131416000,-5.13,8.12,1.31;
8,Standing,112590211555000,-5.13,8.24,1.42;
8,Standing,112590252144000,-5.13,8.24,1.38;
8,Standing,112590299232000,-5.24,8.16,1.27;
8,Standing,112590334724000,-5.22,8.08,1.23;
8,Standing,112590411445000,-5.22,8.2,1.31;
8,Standing,112590451423000,-5.13,8.2,1.31;
8,Standing,112590491493000,-5.24,8.2,1.33;
8,Standing,112590531471000,-5.18,8.12,1.31;
8,Standing,112590611458000,-5.09,8.2,1.27;
8,Standing,112590652015000,-5.09,8.24,1.27;
8,Standing,112590691475000,-5.18,8.24,1.38;
8,Standing,112590731483000,-5.22,8.2,1.33;
